# check_grounded.py baseline -- values not attested on their own page
# 202 known problem(s), recorded so the gate can fail on NEW ones.
# Shrinking this file is the point. Regenerate deliberately with
# --write-baseline; nothing rewrites it on failure.
mission/adoulin/132  steps[3].grid          'G-10'                        [_mission012.json]
mission/bastok/19  start.npc              'Argus'                       [_mission001.json]
mission/bastok/2  start.npc              'Argus'                       [_mission001.json]
mission/bastok/2  steps[1].target        'Argus'                       [_mission001.json]
mission/bastok/2  steps[3].target        'Argus'                       [_mission001.json]
mission/bastok/21  start.npc              'Argus'                       [_mission002.json]
mission/bastok/22  start.npc              'Argus'                       [_mission002.json]
mission/bastok/23  start.npc              'Argus'                       [_mission002.json]
mission/bastok/3  start.grid             'L-7'                         [_mission001.json]
mission/bastok/3  start.npc              'Argus'                       [_mission001.json]
mission/bastok/3  start.zone             'Port Bastok'                 [_mission001.json]
mission/bastok/3  steps[1].grid          'L-7'                         [_mission001.json]
mission/bastok/3  steps[1].target        'Argus'                       [_mission001.json]
mission/bastok/3  steps[1].zone          'Port Bastok'                 [_mission001.json]
mission/bastok/4  start.grid             'L-7'                         [_mission001.json]
mission/bastok/4  start.npc              'Argus'                       [_mission001.json]
mission/bastok/4  start.zone             'Port Bastok'                 [_mission001.json]
mission/bastok/5  start.grid             'L-7'                         [_mission001.json]
mission/bastok/5  start.npc              'Argus'                       [_mission001.json]
mission/bastok/5  start.zone             'Port Bastok'                 [_mission001.json]
mission/campaign/71  steps[4].target        'Pupil Palliator II'          [_campaign038.json]
mission/campaign/72  steps[4].target        'Pupil Palliator II'          [_campaign038.json]
mission/cop/238  steps[3].grid          'H-8'                         [_mission003.json]
mission/rov/172  start.zone             'Aht Urhgan Whitegate'        [_mission020.json]
mission/rov/172  steps[1].zone          'Aht Urhgan Whitegate'        [_mission020.json]
mission/sandoria/1  start.npc              'Ambrotien'                   [_mission005.json]
mission/sandoria/1  steps[1].target        'Ambrotien'                   [_mission005.json]
mission/sandoria/1  steps[5].target        'Ambrotien'                   [_mission005.json]
mission/sandoria/12  start.npc              'Ambrotien'                   [_mission005.json]
mission/sandoria/14  start.npc              'Ambrotien'                   [_mission005.json]
mission/sandoria/14  steps[2].target        'Ambrotien'                   [_mission005.json]
mission/sandoria/15  start.npc              'Ambrotien'                   [_mission005.json]
mission/sandoria/16  start.npc              'Ambrotien'                   [_mission005.json]
mission/sandoria/17  start.npc              'Ambrotien'                   [_mission005.json]
mission/sandoria/17  steps[10].target       'Ambrotien'                   [_mission005.json]
mission/sandoria/17  steps[7].target        'Ambrotien'                   [_mission005.json]
mission/sandoria/18  start.npc              'Ambrotien'                   [_mission005.json]
mission/sandoria/19  start.npc              'Ambrotien'                   [_mission005.json]
mission/sandoria/19  steps[1].target        'Ambrotien'                   [_mission005.json]
mission/sandoria/19  steps[3].target        'Ambrotien'                   [_mission005.json]
mission/sandoria/19  steps[6].target        'Ambrotien'                   [_mission005.json]
mission/sandoria/2  start.npc              'Ambrotien'                   [_mission005.json]
mission/sandoria/2  steps[1].target        'Ambrotien'                   [_mission005.json]
mission/sandoria/2  steps[7].target        'Ambrotien'                   [_mission005.json]
mission/sandoria/20  start.npc              'Ambrotien'                   [_mission006.json]
mission/sandoria/21  start.npc              'Ambrotien'                   [_mission006.json]
mission/sandoria/22  start.npc              'Ambrotien'                   [_mission006.json]
mission/sandoria/23  start.npc              'Ambrotien'                   [_mission006.json]
mission/sandoria/3  start.npc              'Ambrotien'                   [_mission005.json]
mission/sandoria/3  steps[10].target       'Ambrotien'                   [_mission005.json]
mission/sandoria/3  steps[1].target        'Ambrotien'                   [_mission005.json]
mission/sandoria/5  start.npc              'Ambrotien'                   [_mission005.json]
mission/toau/13  steps[1].zone          'Aht Urhgan Whitegate'        [_mission007.json]
mission/toau/20  steps[1].grid          'I-10'                        [_mission008.json]
mission/toau/20  steps[1].zone          'Aht Urhgan Whitegate'        [_mission008.json]
mission/toau/22  steps[1].grid          'I-10'                        [_mission008.json]
mission/toau/22  steps[1].zone          'Aht Urhgan Whitegate'        [_mission008.json]
mission/toau/29  steps[2].grid          'H-8'                         [_mission008.json]
mission/toau/31  start.grid             'I-10'                        [_mission008.json]
mission/toau/31  start.zone             'Aht Urhgan Whitegate'        [_mission008.json]
mission/toau/31  steps[1].grid          'I-10'                        [_mission008.json]
mission/toau/31  steps[1].zone          'Aht Urhgan Whitegate'        [_mission008.json]
mission/tvr/178  steps[6].zone          'Heavens Tower'               [_mission015.json]
mission/tvr/240  steps[3].grid          'J-6'                         [_mission015.json]
mission/tvr/240  steps[4].grid          'J-6'                         [_mission015.json]
mission/tvr/240  steps[5].grid          'J-6'                         [_mission015.json]
mission/tvr/286  start.zone             'Aht Urhgan Whitegate'        [_mission016.json]
mission/tvr/286  steps[1].zone          'Aht Urhgan Whitegate'        [_mission016.json]
mission/tvr/286  steps[5].zone          'Aht Urhgan Whitegate'        [_mission016.json]
mission/tvr/298  start.zone             'Aht Urhgan Whitegate'        [_mission011.json]
mission/tvr/298  steps[1].zone          'Aht Urhgan Whitegate'        [_mission011.json]
mission/tvr/298  steps[6].zone          'Aht Urhgan Whitegate'        [_mission011.json]
mission/tvr/430  steps[2].grid          'G-6/7'                       [_mission016.json]
mission/windurst/10  start.npc              'Rakoh Buuma'                 [_mission018.json]
mission/windurst/11  start.npc              'Rakoh Buuma'                 [_mission018.json]
mission/windurst/12  start.npc              'Rakoh Buuma'                 [_mission018.json]
mission/windurst/14  start.npc              'Rakoh Buuma'                 [_mission018.json]
mission/windurst/15  start.npc              'Rakoh Buuma'                 [_mission018.json]
mission/windurst/16  start.npc              'Rakoh Buuma'                 [_mission018.json]
mission/windurst/16  steps[1].grid          'E-7'                         [_mission018.json]
mission/windurst/17  start.npc              'Rakoh Buuma'                 [_mission018.json]
mission/windurst/23  steps[2].target        "Qu'Hau Spring"               [_mission019.json]
mission/windurst/3  start.npc              'Rakoh Buuma'                 [_mission018.json]
mission/windurst/4  start.npc              'Rakoh Buuma'                 [_mission018.json]
mission/windurst/5  start.npc              'Rakoh Buuma'                 [_mission018.json]
mission/zilart/18  start.zone             'Lower Jeuno'                 [_mission020.json]
mission/zilart/18  steps[1].zone          'Lower Jeuno'                 [_mission020.json]
quest/abyssea/28  steps[2].target        'Two of Diamonds (A)'         [_run065.json]
quest/abyssea/28  steps[3].target        'Three of Diamonds (A)'       [_run065.json]
quest/abyssea/28  steps[4].target        'Four of Diamonds (A)'        [_run065.json]
quest/abyssea/28  steps[5].target        'Five of Diamonds (A)'        [_run065.json]
quest/abyssea/28  steps[6].target        'Six of Diamonds (A)'         [_run065.json]
quest/abyssea/81  steps[4].grid          'G-6/7'                       [_run003.json]
quest/adoulin/122  steps[2].target        'Door: Hospital'              [_run078.json]
quest/adoulin/122  steps[6].target        'Door: Hospital'              [_run078.json]
quest/crystal_war/32  steps[3].grid          'E-10/11'                     [_run070.json]
quest/crystal_war/60  steps[5].grid          'H-6/7'                       [_run030.json]
quest/jeuno/54  steps[11].target       'Treasure Coffer'             [_run037.json]
quest/jeuno/54  steps[12].target       'Treasure Coffer'             [_run037.json]
quest/jeuno/54  steps[2].target        'Treasure Coffer'             [_run037.json]
quest/outlands/147  steps[4].grid          'I-5/6'                       [_run047.json]
quest/outlands/147  steps[5].grid          'I-5/6'                       [_run047.json]
quest/outlands/147  steps[6].grid          'I-5/6'                       [_run047.json]
quest/outlands/163  steps[2].grid          'G-11'                        [_batch4.json]
quest/sandoria/107  steps[3].zone          'Cloister of Frost'           [_run055.json]
quest/sandoria/107  steps[4].zone          'Cloister of Frost'           [_run055.json]
quest/toau/73  steps[4].target        'Naja Salaheem'               [_run067.json]
quest/toau/90  start.grid             'I-10'                        [_run113.json]
quest/toau/90  steps[2].grid          'I-10'                        [_run113.json]
quest/toau/91  start.grid             'I-10'                        [_run090.json]
quest/toau/91  steps[1].grid          'I-10'                        [_run090.json]
quest/toau/91  steps[6].grid          'I-10'                        [_run090.json]
quest/toau/92  start.grid             'I-10'                        [_run053.json]
quest/toau/92  steps[1].grid          'I-10'                        [_run053.json]
quest/toau/92  steps[9].grid          'I-10'                        [_run053.json]
quest/toau/95  start.grid             'I-10'                        [_run037.json]
quest/toau/95  steps[1].grid          'I-10'                        [_run037.json]
quest/toau/95  steps[2].grid          'I-10'                        [_run037.json]
quest/toau/95  steps[3].grid          'I-10'                        [_run037.json]
quest/toau/98  start.grid             'I-10'                        [_run006.json]
quest/toau/98  steps[1].grid          'I-10'                        [_run006.json]
quest/toau/98  steps[2].grid          'I-10'                        [_run006.json]
quest/toau/98  steps[3].grid          'I-10'                        [_run006.json]
quest/toau/98  steps[4].grid          'I-10'                        [_run006.json]
quest/toau/98  steps[5].grid          'I-10'                        [_run006.json]
quest/toau/98  steps[6].grid          'I-10'                        [_run006.json]
